FeatureID,PartID,X,Y,Z,KX,KY,KZ,SLB_WHI_ID
4,1,292312.541471894,9105558.22351788,0,1,1,1,43fcfbc9-4388-4728-8524-54c275feb38f
4,1,292340.105207476,9105654.34968747,0,1,1,1,43fcfbc9-4388-4728-8524-54c275feb38f
4,1,292436.231377069,9105626.78595189,0,1,1,1,43fcfbc9-4388-4728-8524-54c275feb38f
4,1,292408.667641488,9105530.6597823,0,1,1,1,43fcfbc9-4388-4728-8524-54c275feb38f
4,1,292312.541471894,9105558.22351788,0,1,1,1,43fcfbc9-4388-4728-8524-54c275feb38f
5,1,292284.977736312,9105462.09734829,0,1,1,1,fea1d8e6-1d32-4ece-a707-76eb56261956
5,1,292312.541471894,9105558.22351788,0,1,1,1,fea1d8e6-1d32-4ece-a707-76eb56261956
5,1,292408.667641488,9105530.6597823,0,1,1,1,fea1d8e6-1d32-4ece-a707-76eb56261956
5,1,292381.103905906,9105434.5336127,0,1,1,1,fea1d8e6-1d32-4ece-a707-76eb56261956
5,1,292284.977736312,9105462.09734829,0,1,1,1,fea1d8e6-1d32-4ece-a707-76eb56261956
6,1,292408.667641488,9105530.6597823,0,1,1,1,a18a7615-a55b-4df8-acff-0e9e7d8b3330
6,1,292436.231377069,9105626.78595189,0,1,1,1,a18a7615-a55b-4df8-acff-0e9e7d8b3330
6,1,292532.357546663,9105599.22221631,0,1,1,1,a18a7615-a55b-4df8-acff-0e9e7d8b3330
6,1,292504.793811082,9105503.09604672,0,1,1,1,a18a7615-a55b-4df8-acff-0e9e7d8b3330
6,1,292408.667641488,9105530.6597823,0,1,1,1,a18a7615-a55b-4df8-acff-0e9e7d8b3330
7,1,292381.103905906,9105434.5336127,0,1,1,1,1a29a59d-8f9f-4cac-83d6-17a112a0b327
7,1,292408.667641488,9105530.6597823,0,1,1,1,1a29a59d-8f9f-4cac-83d6-17a112a0b327
7,1,292504.793811082,9105503.09604672,0,1,1,1,1a29a59d-8f9f-4cac-83d6-17a112a0b327
7,1,292477.2300755,9105406.96987712,0,1,1,1,1a29a59d-8f9f-4cac-83d6-17a112a0b327
7,1,292381.103905906,9105434.5336127,0,1,1,1,1a29a59d-8f9f-4cac-83d6-17a112a0b327
8,1,292504.793811082,9105503.09604672,0,1,1,1,35c04428-6fb9-49ad-b747-c7052708d263
8,1,292532.357546663,9105599.22221631,0,1,1,1,35c04428-6fb9-49ad-b747-c7052708d263
8,1,292628.483716257,9105571.65848073,0,1,1,1,35c04428-6fb9-49ad-b747-c7052708d263
8,1,292600.919980675,9105475.53231114,0,1,1,1,35c04428-6fb9-49ad-b747-c7052708d263
8,1,292504.793811082,9105503.09604672,0,1,1,1,35c04428-6fb9-49ad-b747-c7052708d263
9,1,292477.2300755,9105406.96987712,0,1,1,1,ff9f20a3-6359-4322-8ffd-69c97214f52f
9,1,292504.793811082,9105503.09604672,0,1,1,1,ff9f20a3-6359-4322-8ffd-69c97214f52f
9,1,292600.919980675,9105475.53231114,0,1,1,1,ff9f20a3-6359-4322-8ffd-69c97214f52f
9,1,292573.356245094,9105379.40614154,0,1,1,1,ff9f20a3-6359-4322-8ffd-69c97214f52f
9,1,292477.2300755,9105406.96987712,0,1,1,1,ff9f20a3-6359-4322-8ffd-69c97214f52f
10,1,292600.919980675,9105475.53231114,0,1,1,1,4e2e76e7-babd-4a54-96eb-579af5faeca6
10,1,292628.483716257,9105571.65848073,0,1,1,1,4e2e76e7-babd-4a54-96eb-579af5faeca6
10,1,292724.609885851,9105544.09474515,0,1,1,1,4e2e76e7-babd-4a54-96eb-579af5faeca6
10,1,292697.046150269,9105447.96857555,0,1,1,1,4e2e76e7-babd-4a54-96eb-579af5faeca6
10,1,292600.919980675,9105475.53231114,0,1,1,1,4e2e76e7-babd-4a54-96eb-579af5faeca6
11,1,292573.356245094,9105379.40614154,0,1,1,1,33798c3e-d97e-41f6-b9c0-aad3b6979921
11,1,292600.919980675,9105475.53231114,0,1,1,1,33798c3e-d97e-41f6-b9c0-aad3b6979921
11,1,292697.046150269,9105447.96857555,0,1,1,1,33798c3e-d97e-41f6-b9c0-aad3b6979921
11,1,292669.482414688,9105351.84240596,0,1,1,1,33798c3e-d97e-41f6-b9c0-aad3b6979921
11,1,292573.356245094,9105379.40614154,0,1,1,1,33798c3e-d97e-41f6-b9c0-aad3b6979921
12,1,292697.046150269,9105447.96857555,0,1,1,1,f61b31d8-d682-420c-a8eb-d104e89b54bd
12,1,292724.609885851,9105544.09474515,0,1,1,1,f61b31d8-d682-420c-a8eb-d104e89b54bd
12,1,292820.736055445,9105516.53100957,0,1,1,1,f61b31d8-d682-420c-a8eb-d104e89b54bd
12,1,292793.172319863,9105420.40483997,0,1,1,1,f61b31d8-d682-420c-a8eb-d104e89b54bd
12,1,292697.046150269,9105447.96857555,0,1,1,1,f61b31d8-d682-420c-a8eb-d104e89b54bd
13,1,292669.482414688,9105351.84240596,0,1,1,1,8d8dab06-159c-4959-b991-16045df1ce59
13,1,292697.046150269,9105447.96857555,0,1,1,1,8d8dab06-159c-4959-b991-16045df1ce59
13,1,292793.172319863,9105420.40483997,0,1,1,1,8d8dab06-159c-4959-b991-16045df1ce59
13,1,292765.608584281,9105324.27867038,0,1,1,1,8d8dab06-159c-4959-b991-16045df1ce59
13,1,292669.482414688,9105351.84240596,0,1,1,1,8d8dab06-159c-4959-b991-16045df1ce59
14,1,292793.172319863,9105420.40483997,0,1,1,1,b866a158-3b1a-4713-9f37-1b943e904678
14,1,292820.736055445,9105516.53100957,0,1,1,1,b866a158-3b1a-4713-9f37-1b943e904678
14,1,292916.862225039,9105488.96727398,0,1,1,1,b866a158-3b1a-4713-9f37-1b943e904678
14,1,292889.298489457,9105392.84110439,0,1,1,1,b866a158-3b1a-4713-9f37-1b943e904678
14,1,292793.172319863,9105420.40483997,0,1,1,1,b866a158-3b1a-4713-9f37-1b943e904678
15,1,292765.608584281,9105324.27867038,0,1,1,1,45d8c8e0-b909-48d6-a13b-170f1eabc6d6
15,1,292793.172319863,9105420.40483997,0,1,1,1,45d8c8e0-b909-48d6-a13b-170f1eabc6d6
15,1,292889.298489457,9105392.84110439,0,1,1,1,45d8c8e0-b909-48d6-a13b-170f1eabc6d6
15,1,292861.734753875,9105296.7149348,0,1,1,1,45d8c8e0-b909-48d6-a13b-170f1eabc6d6
15,1,292765.608584281,9105324.27867038,0,1,1,1,45d8c8e0-b909-48d6-a13b-170f1eabc6d6
16,1,292889.298489457,9105392.84110439,0,1000,1000,100,9cd3a82e-bed8-4449-9cac-3e4f62a60d45
16,1,292916.862225039,9105488.96727398,0,1000,1000,100,9cd3a82e-bed8-4449-9cac-3e4f62a60d45
16,1,293012.988394632,9105461.4035384,0,1000,1000,100,9cd3a82e-bed8-4449-9cac-3e4f62a60d45
