Z,KX,KY,KZ
-35.924101,15.000000,15.000000,1.500000
-36.307499,15.000000,15.000000,1.500000
-13.215449,15.000000,15.000000,1.500000
-13.588800,15.000000,15.000000,1.500000
-14.753751,15.000000,15.000000,1.500000
-16.506751,15.000000,15.000000,1.500000
-23.264800,15.000000,15.000000,1.500000
-31.459599,15.000000,15.000000,1.500000
-35.546552,15.000000,15.000000,1.500000
-37.651421,15.000000,15.000000,1.500000
-38.006500,15.000000,15.000000,1.500000
-37.765351,15.000000,15.000000,1.500000
-38.020500,15.000000,15.000000,1.500000
-14.413899,15.000000,15.000000,1.500000
-13.950601,15.000000,15.000000,1.500000
-17.208800,15.000000,15.000000,1.500000
-21.195850,15.000000,15.000000,1.500000
-27.344499,15.000000,15.000000,1.500000
-31.584950,15.000000,15.000000,1.500000
-36.344901,15.000000,15.000000,1.500000
-38.282019,15.000000,15.000000,1.500000
-38.339001,15.000000,15.000000,1.500000
-38.329250,15.000000,15.000000,1.500000
-38.338501,15.000000,15.000000,1.500000
-14.364100,15.000000,15.000000,1.500000
-15.344951,15.000000,15.000000,1.500000
-19.777800,15.000000,15.000000,1.500000
-24.221451,15.000000,15.000000,1.500000
-28.929349,15.000000,15.000000,1.500000
-33.760150,15.000000,15.000000,1.500000
-36.561400,15.000000,15.000000,1.500000
-38.300768,15.000000,15.000000,1.500000
-38.424000,15.000000,15.000000,1.500000
-38.414998,15.000000,15.000000,1.500000
-38.424000,15.000000,15.000000,1.500000
-13.734749,15.000000,15.000000,1.500000
-16.212650,15.000000,15.000000,1.500000
-19.757950,15.000000,15.000000,1.500000
-26.014051,15.000000,15.000000,1.500000
-30.592300,15.000000,15.000000,1.500000
-34.377151,15.000000,15.000000,1.500000
-37.157591,15.000000,15.000000,1.500000
-38.260261,15.000000,15.000000,1.500000
-38.415861,15.000000,15.000000,1.500000
-38.494250,15.000000,15.000000,1.500000
-38.509999,15.000000,15.000000,1.500000
-14.312949,15.000000,15.000000,1.500000
-14.665550,15.000000,15.000000,1.500000
-20.014249,15.000000,15.000000,1.500000
-23.703549,15.000000,15.000000,1.500000
-29.965702,15.000000,15.000000,1.500000
-34.169900,15.000000,15.000000,1.500000
-36.439820,15.000000,15.000000,1.500000
-38.229904,15.000000,15.000000,1.500000
-38.528166,15.000000,15.000000,1.500000
-38.573902,15.000000,15.000000,1.500000
-38.621449,15.000000,15.000000,1.500000
-14.033000,15.000000,15.000000,1.500000
-14.067750,15.000000,15.000000,1.500000
-18.100299,15.000000,15.000000,1.500000
-24.332900,15.000000,15.000000,1.500000
-29.129100,15.000000,15.000000,1.500000
-33.202700,15.000000,15.000000,1.500000
-36.295203,15.000000,15.000000,1.500000
-37.889930,15.000000,15.000000,1.500000
-38.473470,15.000000,15.000000,1.500000
-38.663598,15.000000,15.000000,1.500000
-38.674300,15.000000,15.000000,1.500000
-13.712450,15.000000,15.000000,1.500000
-14.508650,15.000000,15.000000,1.500000
-16.249901,15.000000,15.000000,1.500000
-20.105050,15.000000,15.000000,1.500000
-25.858651,15.000000,15.000000,1.500000
-32.576050,15.000000,15.000000,1.500000
-35.769456,15.000000,15.000000,1.500000
-38.269277,15.000000,15.000000,1.500000
-38.764999,15.000000,15.000000,1.500000
-38.749251,15.000000,15.000000,1.500000
-38.763500,15.000000,15.000000,1.500000
-13.554501,15.000000,15.000000,1.500000
-13.786250,15.000000,15.000000,1.500000
-16.076400,15.000000,15.000000,1.500000
-18.995599,15.000000,15.000000,1.500000
-23.571851,15.000000,15.000000,1.500000
-30.426449,15.000000,15.000000,1.500000
-36.798375,15.000000,15.000000,1.500000
-38.446610,15.000000,15.000000,1.500000
-38.851002,15.000000,15.000000,1.500000
-38.840950,15.000000,15.000000,1.500000
-38.851002,15.000000,15.000000,1.500000
