Row,Column,Layer,Code,Start_Time[day],Stop_Time[day],Start_Head[m],Stop_Head[m]
80,49,1,3,0.00E+00,1.00E+00,0.00E+00,0.00E+00
81,49,1,3,0.00E+00,1.00E+00,0.00E+00,0.00E+00
82,49,1,3,0.00E+00,1.00E+00,0.00E+00,0.00E+00
83,49,1,3,0.00E+00,1.00E+00,0.00E+00,0.00E+00
84,49,1,3,0.00E+00,1.00E+00,0.00E+00,0.00E+00
85,49,1,3,0.00E+00,1.00E+00,0.00E+00,0.00E+00
86,49,1,3,0.00E+00,1.00E+00,0.00E+00,0.00E+00
87,49,1,3,0.00E+00,1.00E+00,0.00E+00,0.00E+00
88,49,1,3,0.00E+00,1.00E+00,0.00E+00,0.00E+00
89,49,1,3,0.00E+00,1.00E+00,0.00E+00,0.00E+00
90,49,1,3,0.00E+00,1.00E+00,0.00E+00,0.00E+00
91,49,1,3,0.00E+00,1.00E+00,0.00E+00,0.00E+00
92,49,1,3,0.00E+00,1.00E+00,0.00E+00,0.00E+00
93,49,1,3,0.00E+00,1.00E+00,0.00E+00,0.00E+00
94,49,1,3,0.00E+00,1.00E+00,0.00E+00,0.00E+00
95,49,1,3,0.00E+00,1.00E+00,0.00E+00,0.00E+00
96,49,1,3,0.00E+00,1.00E+00,0.00E+00,0.00E+00
97,49,1,3,0.00E+00,1.00E+00,0.00E+00,0.00E+00
98,49,1,3,0.00E+00,1.00E+00,0.00E+00,0.00E+00
99,49,1,3,0.00E+00,1.00E+00,0.00E+00,0.00E+00
100,49,1,3,0.00E+00,1.00E+00,0.00E+00,0.00E+00
101,49,1,3,0.00E+00,1.00E+00,0.00E+00,0.00E+00
102,49,1,3,0.00E+00,1.00E+00,0.00E+00,0.00E+00
103,49,1,3,0.00E+00,1.00E+00,0.00E+00,0.00E+00
104,49,1,3,0.00E+00,1.00E+00,0.00E+00,0.00E+00
105,49,1,3,0.00E+00,1.00E+00,0.00E+00,0.00E+00
106,49,1,3,0.00E+00,1.00E+00,0.00E+00,0.00E+00
