Well_Name,X-world_coor[m],Y-world_coord[m],Start_Time[day],Stop_Time[day],Rate[m^3/d],Number_of_Screen,Screen_Top1[m],Screen_Bot1[m]
HRIII_7499,2.9201300E+05,9.1042230E+06,0.0000000E+00,1.0000000E+00,-4.0000000E+01,1,-4.0524669E+01,-1.9922154E+02
HRIII_7502,2.9200100E+05,9.1057860E+06,0.0000000E+00,1.0000000E+00,-1.0000000E+01,1,7.5771130E+00,-3.2946978E+01
VAZAR1006,2.9141243E+05,9.1051401E+06,0.0000000E+00,1.0000000E+00,-3.8223800E-01,1,6.1089680E+00,-3.1335711E+01
VAZAR1007,2.9150856E+05,9.1051126E+06,0.0000000E+00,1.0000000E+00,-6.0470090E+00,1,5.9377510E+00,-3.5242942E+01
VAZAR1008,2.9160468E+05,9.1050850E+06,0.0000000E+00,1.0000000E+00,-1.4641630E+00,1,5.8914130E+00,-3.8499413E+01
VAZAR1009,2.9170081E+05,9.1050574E+06,0.0000000E+00,1.0000000E+00,-9.5594100E-01,1,6.4389440E+00,-3.9406711E+01
VAZAR1010,2.9179694E+05,9.1050299E+06,0.0000000E+00,1.0000000E+00,-6.5676940E+00,1,6.6499970E+00,-3.8450555E+01
VAZAR1011,2.9189306E+05,9.1050023E+06,0.0000000E+00,1.0000000E+00,-7.2797590E+00,1,6.5431970E+00,-3.5709465E+01
VAZAR1012,2.9198919E+05,9.1049747E+06,0.0000000E+00,1.0000000E+00,-7.2797590E+00,1,6.9454010E+00,-3.5773098E+01
VAZAR1013,2.9208531E+05,9.1049472E+06,0.0000000E+00,1.0000000E+00,-7.2797590E+00,1,7.2149760E+00,-3.5116298E+01
VAZAR1014,2.9218144E+05,9.1049196E+06,0.0000000E+00,1.0000000E+00,-7.2797590E+00,1,8.7650840E+00,-4.3182647E+01
VAZAR1015,2.9227757E+05,9.1048921E+06,0.0000000E+00,1.0000000E+00,-7.2797590E+00,1,9.5131070E+00,-5.1904473E+01
VAZAR1016,2.9237369E+05,9.1048645E+06,0.0000000E+00,1.0000000E+00,-7.2797590E+00,1,9.4167130E+00,-6.4106002E+01
VAZAR1017,2.9246982E+05,9.1048369E+06,0.0000000E+00,1.0000000E+00,-7.2797590E+00,1,7.6963110E+00,-7.0866364E+01
VAZAR1018,2.9256594E+05,9.1048094E+06,0.0000000E+00,1.0000000E+00,-7.2797590E+00,1,2.5107480E+00,-7.5200936E+01
VAZAR1019,2.9266207E+05,9.1047818E+06,0.0000000E+00,1.0000000E+00,-5.2322200E+00,1,-1.2817800E+00,-7.5282062E+01
VAZAR1079,2.9128874E+05,9.1050716E+06,0.0000000E+00,1.0000000E+00,-6.2888000E-02,1,5.1062410E+00,-2.5069784E+01
VAZAR1080,2.9138487E+05,9.1050440E+06,0.0000000E+00,1.0000000E+00,-4.2204950E+00,1,5.2424360E+00,-2.8609737E+01
VAZAR1081,2.9148099E+05,9.1050164E+06,0.0000000E+00,1.0000000E+00,-7.2797590E+00,1,5.3865250E+00,-3.2053795E+01
VAZAR1082,2.9157712E+05,9.1049889E+06,0.0000000E+00,1.0000000E+00,-6.4441500E+00,1,5.7987360E+00,-3.5267353E+01
VAZAR1083,2.9167325E+05,9.1049613E+06,0.0000000E+00,1.0000000E+00,-7.7030300E-01,1,5.9731280E+00,-3.7699806E+01
VAZAR1084,2.9176937E+05,9.1049338E+06,0.0000000E+00,1.0000000E+00,-2.0017360E+00,1,6.0910300E+00,-3.8169401E+01
VAZAR1085,2.9186550E+05,9.1049062E+06,0.0000000E+00,1.0000000E+00,-7.2685390E+00,1,5.9045850E+00,-3.6001196E+01
VAZAR1086,2.9196162E+05,9.1048786E+06,0.0000000E+00,1.0000000E+00,-7.2797590E+00,1,6.5485330E+00,-3.5276938E+01
VAZAR1087,2.9205775E+05,9.1048511E+06,0.0000000E+00,1.0000000E+00,-7.2797590E+00,1,7.5340070E+00,-3.8223955E+01
VAZAR1088,2.9215388E+05,9.1048235E+06,0.0000000E+00,1.0000000E+00,-7.2797590E+00,1,8.4720680E+00,-4.8028066E+01
VAZAR1089,2.9225000E+05,9.1047959E+06,0.0000000E+00,1.0000000E+00,-7.2797590E+00,1,8.4807490E+00,-5.6923614E+01
VAZAR1090,2.9234613E+05,9.1047684E+06,0.0000000E+00,1.0000000E+00,-7.2797590E+00,1,6.6192040E+00,-6.4477758E+01
VAZAR1091,2.9244226E+05,9.1047408E+06,0.0000000E+00,1.0000000E+00,-7.2797590E+00,1,4.5506990E+00,-7.2070649E+01
VAZAR1092,2.9253838E+05,9.1047132E+06,0.0000000E+00,1.0000000E+00,-7.2088500E+00,1,1.7551260E+00,-7.4877999E+01
VAZAR1093,2.9263451E+05,9.1046857E+06,0.0000000E+00,1.0000000E+00,-1.3478620E+00,1,-1.1517860E+00,-7.5449869E+01
VAZAR1153,2.9126118E+05,9.1049754E+06,0.0000000E+00,1.0000000E+00,-1.9621980E+00,1,3.8565310E+00,-2.3823657E+01
VAZAR1154,2.9135730E+05,9.1049479E+06,0.0000000E+00,1.0000000E+00,-7.2797590E+00,1,4.1171460E+00,-2.7510690E+01
VAZAR1155,2.9145343E+05,9.1049203E+06,0.0000000E+00,1.0000000E+00,-7.2797590E+00,1,4.4473120E+00,-2.9261137E+01
VAZAR1156,2.9154956E+05,9.1048928E+06,0.0000000E+00,1.0000000E+00,-7.2797590E+00,1,4.8956230E+00,-3.1325173E+01
VAZAR1157,2.9164568E+05,9.1048652E+06,0.0000000E+00,1.0000000E+00,-6.2698990E+00,1,5.2206170E+00,-3.5400370E+01
VAZAR1158,2.9174181E+05,9.1048376E+06,0.0000000E+00,1.0000000E+00,-1.3585740E+00,1,5.4606080E+00,-3.6731043E+01
VAZAR1159,2.9183793E+05,9.1048101E+06,0.0000000E+00,1.0000000E+00,-2.9004900E+00,1,5.8725850E+00,-3.6497330E+01
VAZAR1160,2.9193406E+05,9.1047825E+06,0.0000000E+00,1.0000000E+00,-6.9692090E+00,1,6.9218430E+00,-3.4391216E+01
VAZAR1161,2.9203019E+05,9.1047549E+06,0.0000000E+00,1.0000000E+00,-7.2797590E+00,1,7.4546260E+00,-3.9880281E+01
VAZAR1162,2.9212631E+05,9.1047274E+06,0.0000000E+00,1.0000000E+00,-7.2797590E+00,1,7.8373950E+00,-4.7353519E+01
VAZAR1163,2.9222244E+05,9.1046998E+06,0.0000000E+00,1.0000000E+00,-7.2797590E+00,1,6.2332060E+00,-5.8261649E+01
VAZAR1164,2.9231857E+05,9.1046722E+06,0.0000000E+00,1.0000000E+00,-7.2797590E+00,1,5.3701890E+00,-6.6554668E+01
VAZAR1165,2.9241469E+05,9.1046447E+06,0.0000000E+00,1.0000000E+00,-7.2797590E+00,1,2.9605990E+00,-7.1715138E+01
VAZAR1166,2.9251082E+05,9.1046171E+06,0.0000000E+00,1.0000000E+00,-7.2797590E+00,1,2.6085900E-01,-7.4575636E+01
VAZAR1167,2.9260694E+05,9.1045896E+06,0.0000000E+00,1.0000000E+00,-1.9023360E+00,1,-1.0682000E+00,-7.5452221E+01
VAZAR1227,2.9123361E+05,9.1048793E+06,0.0000000E+00,1.0000000E+00,-1.4523500E-01,1,3.6328950E+00,-2.1471856E+01
VAZAR1228,2.9132974E+05,9.1048518E+06,0.0000000E+00,1.0000000E+00,-5.6879290E+00,1,3.1770540E+00,-2.3366200E+01
VAZAR1229,2.9142587E+05,9.1048242E+06,0.0000000E+00,1.0000000E+00,-7.2797590E+00,1,4.5749220E+00,-2.6819000E+01
VAZAR1230,2.9152199E+05,9.1047966E+06,0.0000000E+00,1.0000000E+00,-7.2797590E+00,1,5.4246710E+00,-2.9463453E+01
VAZAR1231,2.9161812E+05,9.1047691E+06,0.0000000E+00,1.0000000E+00,-7.2797590E+00,1,5.4705670E+00,-3.1649302E+01
VAZAR1232,2.9171424E+05,9.1047415E+06,0.0000000E+00,1.0000000E+00,-7.0586050E+00,1,5.7925860E+00,-3.5614313E+01
