Z,TOP,BOTTOM,TICKNES,ROW,COLUMN,LAYER,FeatureID,X,Y,Elevation,Zone,Start_Time,Stop_Time[,Rate[mm/yr
0.03654,0.53654,-0.46346,1,11,57,1,51,292744.7623,9105070.181,0.53654,23,0,365,10
-0.5,0,-1,1,11,58,1,52,292840.8885,9105042.618,0,1,0,365,0
-0.50205,0,-1.0041,1.0041,11,59,1,53,292937.0147,9105015.054,0,1,0,365,0
-0.5026,0,-1.0052,1.0052,11,60,1,54,293033.1408,9104987.49,0,1,0,365,0
6.7788,7.2788,6.2788,1,12,50,1,55,292044.3154,9105167.001,7.2788,7,0,365,270
7.2465,7.7465,6.7465,1,12,51,1,56,292140.4416,9105139.438,7.7465,7,0,365,270
8.582,9.082,8.082,1,12,52,1,57,292236.5677,9105111.874,9.082,7,0,365,270
8.8192,9.3192,8.3192,1,12,53,1,58,292344.121,9105063.695,9.3192,7,0,365,270
5.774,6.274,5.274,1,12,54,1,59,292428.8201,9105056.746,6.274,7,0,365,270
3.3306,3.8306,2.8306,1,12,55,1,60,292524.9463,9105029.183,3.8306,7,0,365,270
1.05241,1.5524,0.55242,0.99998,12,56,1,61,292621.0724,9105001.619,1.5524,7,0,365,270
-0.28975,0.21025,-0.78975,1,12,57,1,62,292717.1986,9104974.055,0.21025,22,0,365,40
-0.5,0,-1,1,12,58,1,63,292813.3248,9104946.491,0,1,0,365,0
-0.5031,0,-1.0062,1.0062,12,59,1,64,292909.4509,9104918.928,0,1,0,365,0
-0.5,0,-1,1,12,60,1,65,293005.5771,9104891.364,0,1,0,365,0
7.2801,7.7801,6.7801,1,13,50,1,66,292016.7517,9105070.875,7.7801,7,0,365,270
7.9194,8.4194,7.4194,1,13,51,1,67,292112.8778,9105043.311,8.4194,7,0,365,270
8.6075,9.1075,8.1075,1,13,52,1,68,292209.004,9105015.748,9.1075,7,0,365,270
9.1015,9.6015,8.6015,1,13,53,1,69,292305.1302,9104988.184,9.6015,7,0,365,270
7.5474,8.0474,7.0474,1,13,54,1,70,292401.2564,9104960.62,8.0474,7,0,365,270
4.1408,4.6408,3.6408,1,13,55,1,71,292497.3825,9104933.057,4.6408,7,0,365,270
2.2059,2.7059,1.7059,1,13,56,1,72,292593.5087,9104905.493,2.7059,7,0,365,270
-0.18184,0.31816,-0.68184,1,13,57,1,73,292689.6349,9104877.929,0.31816,32,0,365,120
-0.5,0,-1,1,13,58,1,74,292785.761,9104850.365,0,1,0,365,0
-0.50285,0,-1.0057,1.0057,13,59,1,75,292881.8872,9104822.802,0,1,0,365,0
-0.5,0,-1,1,13,60,1,76,292978.0134,9104795.238,0,1,0,365,0
7.6612,8.1612,7.1612,1,14,50,1,77,291989.1879,9104974.749,8.1612,7,0,365,270
7.9288,8.4288,7.4288,1,14,51,1,78,292085.3141,9104947.185,8.4288,7,0,365,270
9.5272,10.027,9.0274,0.9996,14,52,1,79,292181.4403,9104919.622,10.027,7,0,365,270
10.32315,10.823,9.8233,0.9997,14,53,1,80,292277.5664,9104892.058,10.823,7,0,365,270
10.288,10.788,9.788,1,14,54,1,81,292373.6926,9104864.494,10.788,7,0,365,270
8.5931,9.0931,8.0931,1,14,55,1,82,292469.8188,9104836.93,9.0931,7,0,365,270
3.4032,3.9032,2.9032,1,14,56,1,83,292565.945,9104809.367,3.9032,7,0,365,270
-0.40804,0.091959,-0.90804,0.999999,14,57,1,84,292662.0711,9104781.803,0.091959,8,0,365,200
-0.5,0,-1,1,14,58,1,85,292758.1973,9104754.239,0,1,0,365,0
-0.50275,0,-1.0055,1.0055,14,59,1,86,292854.3235,9104726.675,0,1,0,365,0
-0.5,0,-1,1,14,60,1,87,292950.4496,9104699.112,0,1,0,365,0
7.2598,7.7598,6.7598,1,15,50,1,88,291961.6242,9104878.623,7.7598,7,0,365,270
8.2651,8.7651,7.7651,1,15,51,1,89,292057.7504,9104851.059,8.7651,7,0,365,270
9.2574,9.7574,8.7574,1,15,52,1,90,292153.8765,9104823.495,9.7574,7,0,365,270
9.3111,9.8111,8.8111,1,15,53,1,91,292250.0027,9104795.932,9.8111,7,0,365,270
7.4783,7.9783,6.9783,1,15,54,1,92,292346.1289,9104768.368,7.9783,7,0,365,270
5.4377,5.9377,4.9377,1,15,55,1,93,292442.255,9104740.804,5.9377,7,0,365,270
2.6422,3.1422,2.1422,1,15,56,1,94,292538.3812,9104713.24,3.1422,7,0,365,270
-0.27654,0.22346,-0.77654,1,15,57,1,95,292634.5074,9104685.677,0.22346,55,0,365,50
-0.5,0,-1,1,15,58,1,96,292730.6336,9104658.113,0,1,0,365,0
