FeatureID;well;X;Y;Ele_L1;Ele_L2;Ele_L3;Ele_L4;Ele_L5;Ele_L6;Ele_L7;Ele_L8
96;;292730.6336;9104658.113;0;-1;-75.848;-76.848;-77.848;-78.848;-200;-234.639999
97;;292826.7597;9104630.549;0;-1.004;-75.825996;-76.825996;-77.825996;-78.825996;-200;-256
98;;292922.8859;9104602.985;0;-1;-75.848;-76.848;-77.848;-78.848;-200;-266.690002
99;;291934.0605;9104782.497;8.1305;7.1305;-34.599998;-39.57;-41.869999;-42.869999;-192.610001;-193.610001
100;;292030.1866;9104754.933;8.6937;7.6937;-40.119;-44.577999;-46.728001;-47.728001;-194.550003;-195.850006
101;;292126.3128;9104727.369;9.1161;8.1161;-47.632;-51.306999;-53.272999;-54.272999;-197.119995;-200.419998
102;;292222.439;9104699.805;7.5589;6.5589;-58.587002;-61.056999;-62.736;-63.736;-199.350006;-207.119995
103;;292318.5651;9104672.242;6.7334;5.7334;-66.917999;-68.391998;-69.870003;-70.870003;-200;-214.050003
104;;292414.6913;9104644.678;4.3377;3.3377;-72.092003;-73.179001;-74.444;-75.444;-200;-217.809998
105;;292510.8175;9104617.114;1.6388;0.63882;-74.954002;-75.976997;-77.069;-78.069;-200;-222.619995
106;;292606.9437;9104589.551;0.30748;-0.69252;-75.828003;-76.832001;-77.859001;-78.859001;-200;-231.190002
107;;292703.0698;9104561.987;0.17728;-0.82272;-76.009003;-77.009003;-78.014999;-79.014999;-200;-242.160004
108;;292799.196;9104534.423;0;-1.0025;-75.986;-76.986;-77.986;-78.986;-200;-271.48999
109;;292895.3222;9104506.859;0;-1.001;-76.018997;-77.018997;-78.018997;-79.018997;-200;-288.690002
110;;291906.4967;9104686.371;7.8421;6.8421;-35.467999;-40.270001;-42.706001;-43.706001;-193.990005;-194.990005
111;;292002.6229;9104658.807;8.6629;7.6629;-36.994;-41.291;-43.669998;-44.669998;-197.130005;-200.399994
112;;292098.7491;9104631.243;9.3695;8.3695;-48.397999;-51.335999;-53.417999;-54.417999;-199.839996;-212.919998
113;;292194.8752;9104603.679;9.7769;8.7769;-56.183998;-58.296001;-60.172001;-61.172001;-200;-220.990005
114;;292291.0014;9104576.116;6.9656;5.9656;-65.897003;-67.209;-68.749;-69.749;-200;-228.25
115;;292387.1276;9104548.552;3.8272;2.8272;-71.167;-72.278999;-73.560997;-74.560997;-200;-235.350006
116;;292483.2537;9104520.988;1.6054;0.60536;-73.485001;-74.544998;-75.700996;-76.700996;-200;-240.940002
