Well_Name;Rate[m^3/d;Screen_Top;Screen_Bot;ROW;COLUMN;LAYER;;;;;;;;
HRIII_7118;-40;-72.851242;-192.41657;14;55;7;;;;;;;;
HRIII_7181;-40;-72.851242;-192.41657;14;55;7;;;;;;;;
HRIII_7251;-40;-72.851242;-192.41657;14;55;7;;;;;;;;
VAZAR1017;-7.279759;7.696311;-70.866364;14;55;6;;;;;;;;
VAZAR1018;-7.279759;2.510748;-75.200936;14;56;6;;;;;;;;
VAZAR1019;-5.23222;-1.28178;-75.282062;14;57;6;;;;;;;;
VAZAR1086;-7.279759;6.548533;-35.276938;15;50;2;;;;;;;;
VAZAR1087;-7.279759;7.534007;-38.223955;15;51;2;;;;;;;;
3959-P_07;-60;-52.570116;-191.79239;15;52;7;;;;;;;;
5316-P_12;-40;-52.570116;-191.79239;15;52;7;;;;;;;;
VAZAR1088;-7.279759;8.472068;-48.028066;15;52;2;;;;;;;;
VAZAR1089;-7.279759;8.480749;-56.923614;15;53;3;;;;;;;;
1580-P_00;-43;-66.979279;-196.35604;15;54;7;;;;;;;;
1832-P_00;-50;-66.979279;-196.35604;15;54;7;;;;;;;;
2353-P_02;-50;-66.979279;-196.35604;15;54;7;;;;;;;;
HRIII_7127;-40;-66.979279;-196.35604;15;54;7;;;;;;;;
HRIII_7133;-40;-73.694808;-198.17538;15;55;7;;;;;;;;
HRIII_7137;-40;-73.694808;-198.17538;15;55;7;;;;;;;;
VAZAR1090;-7.279759;6.619204;-64.477758;15;54;6;;;;;;;;
1318-P_99;-15;-73.694808;-198.17538;15;55;7;;;;;;;;
HRIII_7114;-40;-73.694808;-198.17538;15;55;7;;;;;;;;
HRIII_7252;-40;-76.282129;-199.12469;15;56;7;;;;;;;;
HRIII_7253;-40;-76.282129;-199.12469;15;56;7;;;;;;;;
HRIII_7270;-40;-73.694808;-198.17538;15;55;7;;;;;;;;
VAZAR1091;-7.279759;4.550699;-72.070649;15;55;6;;;;;;;;
2774-P_03;-20;-75.981969;-199.39035;16;56;7;;;;;;;;
HRIII_7294;-40;-76.282129;-199.12469;15;56;7;;;;;;;;
VAZAR1092;-7.20885;1.755126;-74.877999;15;56;6;;;;;;;;
VAZAR1093;-1.347862;-1.151786;-75.449869;15;57;6;;;;;;;;
VAZAR1160;-6.969209;6.921843;-34.391216;16;50;2;;;;;;;;
VAZAR1161;-7.279759;7.454626;-39.880281;16;51;2;;;;;;;;
VAZAR1162;-7.279759;7.837395;-47.353519;16;52;2;;;;;;;;
4493-P_09;-30;-61.065378;-198.67122;16;53;7;;;;;;;;
HRIII_7153;-40;-61.065378;-198.67122;16;53;7;;;;;;;;
HRIII_7179;-40;-61.065378;-198.67122;16;53;7;;;;;;;;
VAZAR1163;-7.279759;6.233206;-58.261649;16;53;3;;;;;;;;
2592-P_03;-27.5;-68.399593;-199.35435;16;54;7;;;;;;;;
3507-P_06;-1.7;-68.399593;-199.35435;16;54;7;;;;;;;;
710-P_99;-40;-73.18526;-199.37722;16;55;7;;;;;;;;
HRIII_7110;-40;-68.399593;-199.35435;16;54;7;;;;;;;;
VAZAR1164;-7.279759;5.370189;-66.554668;16;54;6;;;;;;;;
1926-P_01;-50;-73.18526;-199.37722;16;55;7;;;;;;;;
4840-P_10;-40;-73.18526;-199.37722;16;55;7;;;;;;;;
HRIII_7128;-40;-73.18526;-199.37722;16;55;7;;;;;;;;
HRIII_7136;-40;-73.18526;-199.37722;16;55;7;;;;;;;;
HRIII_7138;-40;-73.18526;-199.37722;16;55;7;;;;;;;;
HRIII_7264;-40;-75.981969;-199.39035;16;56;7;;;;;;;;
HRIII_7265;-10;2.960599;-71.715138;16;55;6;;;;;;;;
VAZAR1165;-7.279759;2.960599;-71.715138;16;55;6;;;;;;;;
2699-P_03;-12;-75.981969;-199.39035;16;56;7;;;;;;;;
VAZAR1166;-7.279759;0.260859;-74.575636;16;56;6;;;;;;;;
VAZAR1167;-1.902336;-1.0682;-75.452221;16;57;6;;;;;;;;
VAZAR1234;-0.490634;6.63057;-35.256464;17;50;2;;;;;;;;
VAZAR1235;-6.648051;7.439666;-36.770615;17;51;2;;;;;;;;
VAZAR1236;-7.279759;8.085631;-48.114498;17;52;2;;;;;;;;
4152-P_07;-40;-58.305422;-199.30586;17;53;7;;;;;;;;
VAZAR1237;-7.279759;8.452067;-55.859149;17;53;3;;;;;;;;
4451-P_09;-30;5.606237;-65.537768;17;54;6;;;;;;;;
VAZAR1238;-7.279759;5.606237;-65.537768;17;54;6;;;;;;;;
HRIII_7102;-10;2.457243;-70.79669;17;55;6;;;;;;;;
HRIII_7105;-40;-69.657552;-199.36021;18;55;7;;;;;;;;
