FeatureID,PartID,X,Y,Z,SLB_WHI_ID
7,1,292820.736055445,9105516.53100957,0,86a299b8-3fd8-4c09-b4a2-0f436dc51d5a
7,1,292916.862225039,9105488.96727398,0,86a299b8-3fd8-4c09-b4a2-0f436dc51d5a
7,1,292889.298489457,9105392.84110439,0,86a299b8-3fd8-4c09-b4a2-0f436dc51d5a
7,1,292793.172319863,9105420.40483997,0,86a299b8-3fd8-4c09-b4a2-0f436dc51d5a
7,1,292820.736055445,9105516.53100957,0,86a299b8-3fd8-4c09-b4a2-0f436dc51d5a
8,1,292916.862225039,9105488.96727398,0,7e3b6f1b-210e-4cc9-8fb7-a2ceebc30800
8,1,293012.988394632,9105461.4035384,0,7e3b6f1b-210e-4cc9-8fb7-a2ceebc30800
8,1,292985.424659051,9105365.27736881,0,7e3b6f1b-210e-4cc9-8fb7-a2ceebc30800
8,1,292889.298489457,9105392.84110439,0,7e3b6f1b-210e-4cc9-8fb7-a2ceebc30800
8,1,292916.862225039,9105488.96727398,0,7e3b6f1b-210e-4cc9-8fb7-a2ceebc30800
9,1,293012.988394632,9105461.4035384,0,29cefc4e-c31c-4bb2-aaab-77b8a95f5a9b
9,1,293109.114564226,9105433.83980282,0,29cefc4e-c31c-4bb2-aaab-77b8a95f5a9b
9,1,293081.550828645,9105337.71363323,0,29cefc4e-c31c-4bb2-aaab-77b8a95f5a9b
9,1,292985.424659051,9105365.27736881,0,29cefc4e-c31c-4bb2-aaab-77b8a95f5a9b
9,1,293012.988394632,9105461.4035384,0,29cefc4e-c31c-4bb2-aaab-77b8a95f5a9b
10,1,293109.114564226,9105433.83980282,0,1e351069-f812-4a37-9414-7f433a24a666
10,1,293205.24073382,9105406.27606724,0,1e351069-f812-4a37-9414-7f433a24a666
10,1,293177.676998238,9105310.14989764,0,1e351069-f812-4a37-9414-7f433a24a666
10,1,293081.550828645,9105337.71363323,0,1e351069-f812-4a37-9414-7f433a24a666
10,1,293109.114564226,9105433.83980282,0,1e351069-f812-4a37-9414-7f433a24a666
11,1,292120.289132706,9105613.35098904,0,e42d21be-1cdf-4daf-bc46-394857454b98
11,1,292216.4153023,9105585.78725346,0,e42d21be-1cdf-4daf-bc46-394857454b98
