FeatureID,PartID,X,Y,Z,SLB_WHI_ID,,,,,,FeatureID,PartID,X,Y
6,1,292408.6676,9105530.66,0,ff8551c4-9ebc-4124-879d-1e5d0f8b0a8e,,,,0,,8,1,292628.4837,9105571.658
6,1,292436.2314,9105626.786,0,ff8551c4-9ebc-4124-879d-1e5d0f8b0a8e,,,,1,,8,1,292600.92,9105475.532
7,1,292408.6676,9105530.66,0,44136f6c-49b1-42ba-a822-6c262b758b0b,,,,0,,8,1,292504.7938,9105503.096
7,1,292504.7938,9105503.096,0,44136f6c-49b1-42ba-a822-6c262b758b0b,,,,0,,9,1,292504.7938,9105503.096
7,1,292477.2301,9105406.97,0,44136f6c-49b1-42ba-a822-6c262b758b0b,,,,0,,9,1,292600.92,9105475.532
7,1,292381.1039,9105434.534,0,44136f6c-49b1-42ba-a822-6c262b758b0b,,,,0,,9,1,292573.3562,9105379.406
7,1,292408.6676,9105530.66,0,44136f6c-49b1-42ba-a822-6c262b758b0b,,,,1,,9,1,292477.2301,9105406.97
8,1,292532.3575,9105599.222,0,dd816599-c281-4f23-bc0a-4806b7bd4015,,,,0,,10,1,292628.4837,9105571.658
8,1,292628.4837,9105571.658,0,dd816599-c281-4f23-bc0a-4806b7bd4015,,,,0,,10,1,292724.6099,9105544.095
8,1,292600.92,9105475.532,0,dd816599-c281-4f23-bc0a-4806b7bd4015,,,,0,,10,1,292697.0462,9105447.969
8,1,292504.7938,9105503.096,0,dd816599-c281-4f23-bc0a-4806b7bd4015,,,,0,,10,1,292600.92,9105475.532
8,1,292532.3575,9105599.222,0,dd816599-c281-4f23-bc0a-4806b7bd4015,,,,1,,11,1,292600.92,9105475.532
9,1,292504.7938,9105503.096,0,967d89c6-171e-4422-a13a-c5bd89a57c18,,,,0,,11,1,292697.0462,9105447.969
9,1,292600.92,9105475.532,0,967d89c6-171e-4422-a13a-c5bd89a57c18,,,,0,,11,1,292669.4824,9105351.842
9,1,292573.3562,9105379.406,0,967d89c6-171e-4422-a13a-c5bd89a57c18,,,,0,,11,1,292573.3562,9105379.406
9,1,292477.2301,9105406.97,0,967d89c6-171e-4422-a13a-c5bd89a57c18,,,,0,,12,1,292724.6099,9105544.095
9,1,292504.7938,9105503.096,0,967d89c6-171e-4422-a13a-c5bd89a57c18,,,,1,,12,1,292820.7361,9105516.531
10,1,292628.4837,9105571.658,0,324936dd-c0fc-4949-ba6b-75bf68f4f2e2,,,,0,,12,1,292793.1723,9105420.405
