FeatureID,PartID,X,Y,Z,,SLB_WHI_ID,,,,,FeatureID,X,Y,Z
12,1,292216.4153,9105585.787,0,,937ae4da-3960-47d4-b308-dd7b683b2049,,,,,48,292456.3838,9105152.873,8.5282
12,1,292312.5415,9105558.224,0,,937ae4da-3960-47d4-b308-dd7b683b2049,,,,,49,292552.51,9105125.309,5.6773
12,1,292284.9777,9105462.097,0,,937ae4da-3960-47d4-b308-dd7b683b2049,,,,,50,292648.6362,9105097.745,2.4658
12,1,292188.8516,9105489.661,0,,937ae4da-3960-47d4-b308-dd7b683b2049,,,,,51,292744.7623,9105070.181,0.53654
13,1,292312.5415,9105558.224,0,,00066bd3-2817-449e-b71d-aea068e5dcd3,,,,,52,292840.8885,9105042.618,0
13,1,292408.6676,9105530.66,0,,00066bd3-2817-449e-b71d-aea068e5dcd3,,,,,53,292937.0147,9105015.054,0
13,1,292381.1039,9105434.534,0,,00066bd3-2817-449e-b71d-aea068e5dcd3,,,,,54,293033.1408,9104987.49,0
13,1,292284.9777,9105462.097,0,,00066bd3-2817-449e-b71d-aea068e5dcd3,,,,,55,292044.3154,9105167.001,7.2788
14,1,292408.6676,9105530.66,0,,f762421f-4abb-4e7c-8f91-c4556bd272b6,,,,,56,292140.4416,9105139.438,7.7465
14,1,292504.7938,9105503.096,0,,f762421f-4abb-4e7c-8f91-c4556bd272b6,,,,,57,292236.5677,9105111.874,9.082
14,1,292477.2301,9105406.97,0,,f762421f-4abb-4e7c-8f91-c4556bd272b6,,,,,58,292344.121,9105063.695,9.3192
14,1,292381.1039,9105434.534,0,,f762421f-4abb-4e7c-8f91-c4556bd272b6,,,,,59,292428.8201,9105056.746,6.274
15,1,292504.7938,9105503.096,0,,ecc1d374-e0d5-4f64-8a3c-8d71193adbcb,,,,,60,292524.9463,9105029.183,3.8306
15,1,292600.92,9105475.532,0,,ecc1d374-e0d5-4f64-8a3c-8d71193adbcb,,,,,61,292621.0724,9105001.619,1.5524
15,1,292573.3562,9105379.406,0,,ecc1d374-e0d5-4f64-8a3c-8d71193adbcb,,,,,62,292717.1986,9104974.055,0.21025
15,1,292477.2301,9105406.97,0,,ecc1d374-e0d5-4f64-8a3c-8d71193adbcb,,,,,63,292813.3248,9104946.491,0
16,1,292600.92,9105475.532,0,,d03e484a-17c5-459b-9234-a751c2b7bc41,,,,,64,292909.4509,9104918.928,0
16,1,292697.0462,9105447.969,0,,d03e484a-17c5-459b-9234-a751c2b7bc41,,,,,65,293005.5771,9104891.364,0
16,1,292669.4824,9105351.842,0,,d03e484a-17c5-459b-9234-a751c2b7bc41,,,,,66,292016.7517,9105070.875,7.7801
16,1,292573.3562,9105379.406,0,,d03e484a-17c5-459b-9234-a751c2b7bc41,,,,,67,292112.8778,9105043.311,8.4194
17,1,292697.0462,9105447.969,0,,00f3c59c-a3e1-45ba-9aa5-467fe59f0a23,,,,,68,292209.004,9105015.748,9.1075
17,1,292793.1723,9105420.405,0,,00f3c59c-a3e1-45ba-9aa5-467fe59f0a23,,,,,69,292305.1302,9104988.184,9.6015
17,1,292765.6086,9105324.279,0,,00f3c59c-a3e1-45ba-9aa5-467fe59f0a23,,,,,70,292401.2564,9104960.62,8.0474
17,1,292669.4824,9105351.842,0,,00f3c59c-a3e1-45ba-9aa5-467fe59f0a23,,,,,71,292497.3825,9104933.057,4.6408
18,1,292793.1723,9105420.405,0,,14b49da7-9e71-4fce-b1a3-7598eca429b2,,,,,72,292593.5087,9104905.493,2.7059
18,1,292889.2985,9105392.841,0,,14b49da7-9e71-4fce-b1a3-7598eca429b2,,,,,73,292689.6349,9104877.929,0.31816
18,1,292861.7348,9105296.715,0,,14b49da7-9e71-4fce-b1a3-7598eca429b2,,,,,74,292785.761,9104850.365,0
18,1,292765.6086,9105324.279,0,,14b49da7-9e71-4fce-b1a3-7598eca429b2,,,,,75,292881.8872,9104822.802,0
19,1,292889.2985,9105392.841,0,,4a34ece2-59aa-4ee1-b4ed-76cfc6bd6632,,,,,76,292978.0134,9104795.238,0
19,1,292985.4247,9105365.277,0,,4a34ece2-59aa-4ee1-b4ed-76cfc6bd6632,,,,,77,291989.1879,9104974.749,8.1612
19,1,292957.8609,9105269.151,0,,4a34ece2-59aa-4ee1-b4ed-76cfc6bd6632,,,,,78,292085.3141,9104947.185,8.4288
19,1,292861.7348,9105296.715,0,,4a34ece2-59aa-4ee1-b4ed-76cfc6bd6632,,,,,79,292181.4403,9104919.622,10.027
20,1,292985.4247,9105365.277,0,,652fc178-3c31-4071-97db-278e0ba429f4,,,,,80,292277.5664,9104892.058,10.823
20,1,293081.5508,9105337.714,0,,652fc178-3c31-4071-97db-278e0ba429f4,,,,,81,292373.6926,9104864.494,10.788
20,1,293053.9871,9105241.587,0,,652fc178-3c31-4071-97db-278e0ba429f4,,,,,82,292469.8188,9104836.93,9.0931
20,1,292957.8609,9105269.151,0,,652fc178-3c31-4071-97db-278e0ba429f4,,,,,83,292565.945,9104809.367,3.9032
21,1,293081.5508,9105337.714,0,,92a55680-4788-4a0f-8af8-70dd3f039272,,,,,84,292662.0711,9104781.803,0.091959
21,1,293177.677,9105310.15,0,,92a55680-4788-4a0f-8af8-70dd3f039272,,,,,85,292758.1973,9104754.239,0
21,1,293150.1133,9105214.024,0,,92a55680-4788-4a0f-8af8-70dd3f039272,,,,,86,292854.3235,9104726.675,0
