FeatureID,X,Y,Elevation,KX,KY,KZ,INHD
130,292744.0685,9104342.171,-79.324997,0.3,0.3,0.003,0
131,292840.1947,9104314.607,-79.348,0.3,0.3,0.003,0
132,291851.3693,9104494.118,-42.775002,0.3,0.3,0.003,7
133,291947.4954,9104466.554,-43.439999,0.3,0.3,0.003,8
134,292043.6216,9104438.991,-46.231998,0.3,0.3,0.003,8
135,292139.7478,9104411.427,-52.966,0.3,0.3,0.003,9
136,292235.8739,9104383.863,-61.640999,0.3,0.3,0.003,7
137,292332.0001,9104356.299,-70.802002,0.3,0.3,0.003,3
138,292428.1263,9104328.736,-75.374,0.3,0.3,0.003,2
139,292524.2524,9104301.172,-78.744003,0.3,0.3,0.003,0
140,292620.3786,9104273.608,-79.529999,0.3,0.3,0.003,0
141,292716.5048,9104246.045,-79.495003,0.3,0.3,0.003,0
142,292812.631,9104218.481,-79.527,0.3,0.3,0.003,0
143,291823.8055,9104397.992,-43.183998,0.3,0.3,0.003,8
144,291919.9317,9104370.428,-42.807999,0.3,0.3,0.003,8
145,292016.0579,9104342.865,-45.689999,0.3,0.3,0.003,8
146,292112.184,9104315.301,-50.119999,0.3,0.3,0.003,8
147,292208.3102,9104287.737,-57.581001,0.3,0.3,0.003,7
148,292304.4364,9104260.173,-67.803001,0.3,0.3,0.003,4
149,292400.5625,9104232.61,-76.463997,0.3,0.3,0.003,1
150,292496.6887,9104205.046,-78.968002,0.3,0.3,0.003,0
151,292592.8149,9104177.482,-79.702004,0.3,0.3,0.003,0
152,292688.941,9104149.918,-79.68,0.3,0.3,0.003,0
153,292785.0672,9104122.355,-79.702004,0.3,0.3,0.003,0
